SD_x,SD_y,A_x,A_y,S_x,S_y,B_x,B_y,D_x,D_y
44.37738282,57.68473692,74.74118133,21.1016372,39.4029453,51.1508572,39.05554978,55.54697371,35.3846,51.4103
46.31369241,55.68559177,71.76831892,20.01106184,28.81132844,61.35785406,46.95708015,65.24040739,40.2564,51.4103
46.38607392,51.00216454,76.16691981,75.9361704,34.30395791,56.54212591,37.31045274,45.2587509,44.1026,52.9487
42.49544009,56.90368153,65.62365744,15.58280335,29.60276098,60.15734672,40.009672,60.98658251,46.6667,54.1026
44.30051503,58.13295928,50.85063364,13.98760163,49.11615686,63.66000062,48.01438668,65.71281959,50,55.2564
46.98828335,55.42063673,33.02407002,24.46783039,39.61754583,62.92518796,53.70377593,66.38948204,53.0769,55.641
52.42152316,47.86700549,39.70632617,84.2752871,43.23308466,63.16521872,63.06749989,64.03500046,56.6667,56.0256
64.09099819,68.65098501,45.59648495,9.763348849,64.89278794,65.81417676,62.04803251,63.84586325,59.2308,57.9487
63.01687176,68.22525891,42.96804691,17.9454584,62.49014932,74.58428961,59.83996671,64.47676444,61.2821,62.1795
67.30257792,64.41346272,52.49440678,16.0511142,68.98808443,63.23214731,55.16094182,65.23730817,61.5385,66.4103
67.22595689,62.47641053,46.08227578,23.11045782,62.10561863,75.99087076,61.27978658,65.7664025,61.7949,69.1026
50.30998872,47.26788186,74.24770821,20.31418781,32.46184674,62.88190292,60.83491753,64.60376971,57.4359,55.2564
45.41263892,53.87079769,64.56826419,83.6396339,41.32720065,49.07025127,61.52059065,64.79185504,54.8718,49.8718
54.02060718,47.26989721,74.02169391,76.12827451,44.00714993,46.44967378,36.91654386,41.09524744,52.5641,46.0256
49.84202225,50.57655229,62.39118056,5.623070761,44.07406069,34.55320389,38.50219967,41.56715562,48.2051,38.3333
50.71329957,48.77228678,74.18903668,68.13358322,44.00131524,33.90420735,48.66437073,30.68066685,49.4872,42.1795
55.04555491,45.98627275,28.23678194,56.13959645,45.00630045,38.29901955,50.2852524,30.33792211,51.0256,44.1026
37.54370126,32.88402447,75.77193879,69.82923003,44.44384061,36.0190833,42.27633267,34.52763612,45.3846,36.4103
39.79589781,28.44321912,75.85522947,62.51704429,42.1787134,26.49211948,54.03177562,29.67234831,42.8205,32.5641
28.52339102,39.79666625,65.97085702,72.744856,44.04456562,35.66223828,37.32935526,39.60204231,38.7179,31.4103
31.399646,39.26526322,21.77804048,6.616625307,41.64045402,27.09309542,41.38952255,37.29605623,35.1282,30.2564
39.24156522,33.36141668,67.75979625,72.42120153,41.93833001,24.99152298,40.07466666,34.6236852,32.5641,32.1795
27.71405657,42.25005163,78.61719534,52.57525731,44.05392751,33.55639249,35.34968062,47.14107313,30,36.7949
32.96070352,35.82311129,68.50770819,15.45691897,39.20671933,51.5337157,34.76370042,47.62479992,33.5897,41.4103
35.40473624,31.9391622,74.88502116,25.41660632,28.70444923,61.7775254,37.02662945,44.46229305,36.6667,45.641
51.64222642,50.83834068,66.45490366,19.83662865,31.7086629,58.83775437,36.45556953,40.79184303,38.2051,49.1026
34.20762084,33.59380544,77.3178021,48.39834644,42.81171147,30.02044842,35.53766421,48.72938687,29.7436,36.0256
36.52348922,35.67104839,58.91246032,75.66775622,43.30061489,31.5264262,20.40894789,32.20303042,29.7436,32.1795
28.41920213,21.31574825,57.61744782,8.194800603,40.39863291,16.34700838,23.49571047,25.32246815,30,29.1026
26.16049694,23.04223147,76.0882258,59.67993002,40.43569158,20.23267068,29.55754336,21.36477746,32.0513,26.7949
40.4353274,27.64007114,57.46605055,1.504418175,40.93654667,16.91300484,33.00823391,15.98507146,35.8974,25.2564
44.54495531,27.36224262,79.42838349,45.21079429,39.66157367,15.60935558,53.98039918,29.35098671,41.0256,25.2564
40.1237272,30.07316194,76.35652215,10.41824113,40.89925918,20.79852895,52.2343086,29.71167299,44.1026,25.641
42.18480645,28.57367473,64.40507526,78.58417608,41.96861683,26.4970726,59.50307661,30.66967394,47.1795,28.718
40.00265929,27.48751,40.63504181,73.39475037,40.38340582,21.39122552,41.16378107,34.31575825,49.4872,31.4103
57.12523105,42.73901914,43.94986459,75.95871567,56.53812645,32.44424547,48.99304012,32.03035884,51.5385,34.8718
60.37574497,41.356458,30.99622058,71.69440494,52.97069128,29.04019669,59.26928032,29.64070177,53.5897,37.5641
55.10589613,46.14905106,68.23076899,80.87250166,54.62095259,30.34452445,45.469177,33.83119273,55.1282,40.641
61.73727102,38.58484401,72.04638946,12.91800673,65.09904439,27.24155756,62.69126654,30.29037383,56.6667,42.1795
55.74124432,46.65357698,46.59276797,84.97238278,63.05599091,29.70909567,73.42867087,48.57785513,59.2308,44.4872
58.29640842,41.58319773,49.25721834,81.88140323,70.96013623,41.25950129,70.84642611,52.28225333,62.3077,46.0256
57.04254822,42.41875774,42.78176125,12.99118843,69.89581924,43.45375927,71.53901985,45.52180616,64.8718,46.7949
76.77561121,55.2545987,65.4759522,14.27458564,70.59589286,41.96474387,67.62086589,38.00655847,67.9487,47.9487
71.88707726,59.26699262,71.96508265,17.71023594,69.64702143,44.04444502,72.47095256,51.12213482,70.5128,53.718
73.78837307,58.62081212,32.14646234,43.48170944,77.39298249,63.37145906,64.81223756,62.81091559,71.5385,60.641
75.13968473,54.24455218,31.8384977,71.81216539,64.40078719,67.44871845,60.85367987,65.49914703,71.5385,64.4872
64.59631891,65.95251293,31.00525826,40.68250301,63.86895983,70.21373883,67.78949616,61.36370155,69.4872,69.4872
46.90953863,85.60226116,80.47089432,49.50214835,56.59442132,86.92700622,41.60955727,83.84868656,46.9231,79.8718
46.9051032,81.56564241,71.96416711,41.87428267,56.53133729,87.49981107,53.00302532,84.6747986,48.2051,84.1026
49.80698774,82.08502559,78.07942144,93.13331677,59.65215837,87.80946159,54.71417106,84.04312807,50,85.2564
48.86324182,83.15835749,41.67759577,30.20126408,56.6365087,85.63749556,44.29166872,82.90944121,53.0769,85.2564
66.7481899,84.00483417,65.95359519,31.14740608,58.672288,90.07716031,49.19172196,85.87622912,55.3846,86.0256
62.35976628,90.24365992,62.93445937,31.9163907,58.22161273,90.41101877,53.10138178,84.54765869,56.6667,86.0256
47.3748965,83.47155552,64.37379798,28.86258341,57.91466448,89.95380277,51.59984815,84.81982149,56.1538,82.9487
47.44646672,82.62212401,72.50932836,39.54013025,55.31550906,80.25186069,54.37972195,84.24035555,53.8462,80.641
53.38528063,78.87113626,30.05228987,96.61754235,54.57572859,77.53628847,46.4807681,83.51821167,51.2821,78.718
49.45270777,79.9306028,28.00332424,46.67219195,54.41309365,78.22908659,53.17465627,84.26056799,50,78.718
54.80268254,75.36398499,75.40122686,88.63907662,55.0745059,79.81754642,45.27200294,85.23707942,47.9487,77.5641
37.08824513,60.8572275,38.98001542,87.32216069,29.43296052,60.80177654,36.03340215,53.37168776,29.7436,59.8718
32.37596192,68.51082046,65.21991355,84.68295493,29.42268607,63.06846482,28.27119417,72.84023126,29.7436,62.1795
37.47701388,63.78868557,73.05398996,29.38080856,29.00561416,63.39075133,25.05480608,71.54859792,31.2821,62.5641
52.4066489,96.42541501,34.39836164,59.5444469,58.46183859,90.26532639,64.758887,82.31522364,57.9487,99.4872
50.29704327,99.64417917,43.49045013,40.78254207,57.99780474,92.15990861,63.14452748,85.23669633,61.7949,99.1026
61.56332438,89.86413886,55.13873797,30.72576036,57.54947408,90.74890656,50.42467869,85.17474759,64.8718,97.5641
61.08656039,89.22435565,43.68439343,32.82300987,59.52992846,88.32727415,70.64499626,82.43091876,68.4615,94.1026
59.2364904,91.48110058,35.90360973,91.11186308,58.24939106,92.12968148,63.14904908,83.94685535,70.7692,91.0256
66.15400509,84.11193703,45.37801888,29.16921665,58.02451401,91.69442117,62.82402452,84.96618595,72.0513,86.4103
67.23133478,85.05564081,39.77748287,43.75581895,58.38212449,90.55347607,70.23686952,82.17115106,73.8462,83.3333
73.70990687,78.2706109,38.66446116,33.31723848,62.56675904,77.74393476,70.04273524,80.38502135,75.1282,79.1026
76.58045136,72.89153368,39.04403669,84.67601083,72.17582431,63.12892942,72.57062345,80.97121843,76.6667,75.2564
78.87658116,71.56252768,91.63996144,79.40660306,79.47276157,63.40868612,75.13071604,79.98409314,77.6923,71.4103
77.44900214,72.44730949,47.48813268,85.38993338,80.35770088,63.29543754,83.29390573,70.77843179,79.7436,66.7949
86.85370735,65.54332402,44.59021258,22.03401164,78.75723614,53.33262001,79.66426228,73.93230972,81.7949,60.2564
79.8065313,52.72317979,39.08961455,70.46619408,82.54023959,56.54105229,88.43210253,64.624247,83.3333,55.2564
76.98827347,54.2027848,42.22937838,19.91406841,86.43589719,59.79276181,89.11555901,64.00150664,85.1282,51.4103
79.4793575,49.14101545,37.00038714,60.26427925,79.48868442,53.65167426,89.09219763,57.76819305,86.4103,47.5641
82.30415956,46.99090362,39.05208648,70.65250285,81.53042032,56.02536457,91.72600577,52.62335326,87.9487,46.0256
90.70069125,41.46670301,37.48841474,60.81440485,79.18678857,53.23479185,91.73553876,48.97021089,89.4872,42.5641
95.44348781,36.18970161,69.35955946,65.5213546,77.89905795,51.82245833,91.50788817,53.31265209,93.3333,39.8718
94.99748805,35.09530111,43.54277593,62.46031128,75.13071421,23.37244197,88.2390019,31.47743488,95.3846,36.7949
91.51784725,36.89026313,39.81123025,65.33483281,76.05801375,16.38374969,88.5305192,30.47603101,98.2051,33.718
62.29264219,40.02953331,70.06892594,7.593465609,57.61467439,33.82244765,55.36516034,30.44585028,56.6667,40.641
59.20347561,41.27067767,70.04054358,77.1438066,56.17139753,32.11798877,62.56025887,30.44713567,59.2308,38.3333
65.25639277,32.85410412,39.50578908,74.85162722,66.2878906,26.11710975,58.00666912,30.2537213,60.7692,33.718
62.4447425,35.41499923,62.51689085,66.48473224,67.88171962,24.23601841,55.06711799,29.0115352,63.0769,29.1026
72.46240629,27.62426383,72.13992541,0.015119325,64.0280813,27.67268551,61.61477596,29.99439119,64.1026,25.2564
69.91942626,29.31109272,45.25157607,70.00342132,77.49665175,14.94852356,68.54314354,35.65783217,64.359,24.1026
77.76285908,23.49137356,42.06330456,2.335196612,77.63465176,14.46185393,77.70610965,20.30426019,74.359,22.9487
72.7784102,26.90053537,36.35569515,6.00584865,77.86372643,14.61067765,68.453046,13.03552859,71.2821,22.9487
65.19831667,33.02717179,30.39182766,42.75961287,77.33815817,15.89005466,68.25720644,12.38463915,67.9487,22.1795
69.45985889,30.19703151,36.44900385,50.54626907,76.18041653,15.91257375,70.25547467,13.25038497,65.8974,20.2564
59.31505552,12.35431367,40.467576,60.02751209,77.25265109,15.15151702,65.04432528,11.00084148,63.0769,19.1026
51.48771336,20.84361069,81.7246168,6.037544846,77.41337528,15.22192798,60.09224661,11.87211171,61.2821,19.1026
57.11244755,15.32178517,48.8231975,76.63533058,76.7318494,16.21684614,52.99202897,9.906668483,58.7179,18.3333
50.22441782,19.17096988,35.62056177,57.28601558,49.47110541,25.06301931,50.14462898,12.21154309,55.1282,18.3333
50.43386119,18.53487085,50.58396311,71.8066161,42.47653994,18.33847356,46.50861419,11.20713449,52.3077,18.3333
56.3803054,14.78845971,61.85646511,71.79274316,43.59511586,19.99420098,43.80703196,11.31894489,49.7436,17.5641
54.8635046,14.00961192,39.32375603,59.30081967,50.33996967,26.47139661,57.81785469,10.94514243,47.4359,16.0256
45.49985765,3.985426293,42.18567914,66.03489782,40.74898026,16.18214166,50.94049266,9.691547134,44.8718,13.718
49.93674531,21.59009692,30.84691899,37.3416401,38.38652558,14.58021515,63.49732308,11.91406917,48.7179,14.8718
53.80987292,17.76641445,29.34620043,42.14874183,38.40401521,14.45194845,50.01648295,11.93385209,51.2821,14.8718
59.85267828,9.039949921,82.11055798,1.210551663,38.76427889,14.36559047,58.63676508,11.97472107,54.1026,14.8718
48.17565679,19.52121535,38.30200581,60.01778579,41.47014233,17.27803344,54.73028909,11.41288267,56.1538,14.1026
50.74171907,17.83840561,56.58415302,70.51251481,47.15540481,22.37793253,65.8755478,11.73243636,52.0513,12.5641
58.4597613,14.14866285,33.33937429,0.509106735,39.58256675,17.64845284,57.06098271,9.920560854,48.7179,11.0256
50.11459752,1.741461713,78.77423904,35.48410121,41.74024382,17.82932431,46.81990795,10.49465268,47.1795,9.8718
45.42038208,5.372408995,27.92264424,25.98687818,39.31187189,15.64071697,38.35939487,13.43132262,46.1538,6.0256
51.3532682,0.303872421,71.69786512,10.86814451,41.67984769,17.74591901,47.31541578,12.85345178,50.5128,9.4872
53.09170442,19.29003045,74.13833139,49.17391898,39.08746445,15.12230394,55.05191654,11.94998862,53.8462,10.2564
58.94316654,11.61287779,32.57902007,1.808115597,41.48150286,18.04743744,50.51596026,9.765591622,57.4359,10.2564
59.31099042,10.57213637,59.83218542,69.15250814,77.60608655,15.16287254,49.67741465,10.38313251,60,10.641
68.22219866,1.133880366,35.03062855,12.53664934,75.98266152,16.30692238,67.28065952,14.12865153,64.1026,10.641
62.51177199,7.491232483,74.30011983,42.47709459,76.94575724,15.85847833,66.17301826,12.03791702,66.9231,10.641
69.38005636,1.488132333,63.25019706,65.9524862,77.54372007,15.25394915,61.08854414,10.08453441,71.2821,10.641
82.80024787,18.52937624,34.17307376,25.69367431,77.58473984,15.83003939,66.05308577,13.38022601,74.359,10.641
85.16033218,15.01836954,40.91383193,38.55901955,76.82230426,15.59516532,72.66998927,15.23422594,78.2051,10.641
67.0958477,0.601490942,62.83329309,62.51089423,77.34857166,15.77452924,61.5034725,10.82841448,67.9487,8.718
62.30775057,5.749974719,42.47679238,56.73128997,77.57315269,14.78064583,68.99502863,13.99431053,68.4615,5.2564
59.97041505,7.913310474,52.03345628,64.56666203,77.97261068,14.95569875,78.24991617,17.88324091,68.2051,2.9487
39.91163517,32.14402261,48.90704296,74.28774883,41.52891976,24.91642519,36.48198057,15.16276009,37.6923,25.7692
39.59650098,32.13613173,59.85183839,72.95839097,43.7225508,19.0773278,50.96774838,29.67977429,39.4872,25.3846
95.5934164,33.2341294,48.9604602,72.62952573,79.32607818,52.90039129,91.19105361,46.67434284,91.2821,41.5385
52.77228811,99.61347168,46.84485517,36.79171369,56.66397408,87.94012501,55.86376849,85.33648676,50,95.7692
53.17861445,98.60386119,39.96302158,42.94491485,57.82178923,90.69316655,49.2805948,84.04882283,47.9487,95
37.62705346,93.06067295,66.704944,32.01509543,58.2431719,92.10432787,43.36850154,84.3321772,44.1026,92.6923
